Average Effective Clock,CPU Overall Power Consumption,GPU Power,GPU Effective Clock,FPS
2993.1,124.835,339.826,1928.3,163
2905.9,123.253,340.772,1927.8,186
2976.0,125.284,340.165,1927.3,171
3100.2,130.563,343.702,1933.1,164
3142.7,131.595,341.171,1935.4,168
3134.8,131.214,340.832,1928.8,164
3121.3,130.664,340.335,1924.0,176
2874.1,125.666,341.205,1926.5,174
2986.0,125.604,338.802,1924.5,168
2994.1,125.112,341.207,1937.1,171
2912.6,124.116,340.279,1932.5,180
2866.4,123.267,342.826,1938.7,168
2960.6,125.706,342.799,1934.9,139
2980.0,126.555,345.817,1940.3,147
2937.4,124.894,344.287,1939.6,155
2790.5,120.706,331.568,1996.0,149
2743.9,120.416,326.908,1985.7,138
2960.3,125.1,326.154,1994.4,136
2952.1,124.698,325.75,1994.1,133
2937.8,124.88,324.574,1979.1,131
2919.2,124.398,328.263,1979.0,132
2953.6,125.268,331.78,1978.9,134
2768.6,122.617,285.241,1979.4,172
2874.3,123.14,324.464,1994.3,136
3016.0,125.42,331.434,1993.8,154
3008.7,125.671,327.75,1994.1,147
1721.6,102.038,169.477,1990.9,130
2581.4,130.909,77.016,1204.1,117
3410.8,149.543,72.97,830.4,123
2554.3,122.309,217.182,1659.3,130
3029.8,131.422,328.969,1963.3,124
3004.7,131.861,338.46,1972.4,121
2985.6,129.41,334.172,1964.5,129
3071.2,130.951,332.291,1964.5,132
3015.5,130.229,334.692,1964.1,128
3057.5,130.706,337.686,1963.9,131
2995.6,128.39,342.322,1963.7,132
2984.6,128.051,337.629,1947.9,135
2912.2,125.681,338.594,1947.4,139
2915.5,126.152,343.513,1947.4,135
2890.7,124.926,345.928,1947.8,138
2964.7,127.318,337.049,1946.6,136
2782.8,122.587,346.168,1946.4,138
2959.1,126.758,332.369,1942.7,128
3014.9,127.501,337.829,1936.5,141
2988.6,127.801,343.969,1944.0,144
2708.1,119.336,342.95,1946.4,150
2661.1,117.917,344.021,1947.4,152
2807.7,121.733,346.714,1947.5,150
2808.2,121.813,348.677,1948.0,148
2787.5,120.349,336.121,1947.7,158
2791.3,120.318,343.64,1947.2,153
2871.6,122.248,342.267,1946.9,152
2921.8,124.758,341.204,1933.6,140
2965.3,126.552,338.9,1917.8,140
2876.2,124.674,340.748,1923.5,137
2913.6,125.503,341.242,1920.5,143
2902.1,124.905,338.815,1920.6,140
2890.5,125.249,342.217,1929.3,135
2878.0,124.464,339.383,1925.1,141
2840.8,123.365,342.678,1925.8,139
2839.6,123.032,337.654,1919.7,137
2793.1,122.366,339.387,1918.1,136
2773.3,122.022,339.583,1918.1,137
2833.7,123.156,338.953,1919.3,143
2981.5,126.521,342.444,1933.0,137
2978.4,127.275,339.087,1929.0,133
2777.4,121.721,340.85,1928.4,155
2760.0,120.551,342.953,1921.5,145
2898.1,125.422,339.12,1933.2,140
2831.2,122.505,343.572,1931.9,159
2780.8,121.419,340.42,1931.6,163
2927.2,125.519,336.436,1932.4,149
3200.3,133.143,334.689,1934.8,145
3059.8,128.402,340.49,1927.0,146
2887.6,124.041,344.924,1918.5,154
2756.4,120.265,342.489,1910.8,157
2829.0,122.069,342.893,1917.6,149
2811.7,122.066,340.904,1918.1,146
2820.0,122.15,341.609,1918.1,148
2785.4,121.157,341.412,1918.2,148
2791.6,121.298,342.006,1918.1,148
2809.3,122.173,341.623,1918.5,147
2779.3,121.119,341.528,1917.9,149
2794.7,121.544,341.69,1918.0,149
2800.8,121.607,341.01,1918.2,147
3022.5,130.813,334.216,1935.5,123
2974.6,131.111,326.999,1933.3,123
2980.2,130.453,331.748,1925.0,123
2937.2,126.267,348.062,1920.2,149
2936.8,124.801,346.679,1918.1,147
2913.9,128.264,330.76,1920.7,108
2833.0,129.783,333.755,1948.8,111
3035.6,130.737,342.763,1922.4,138
2985.8,128.16,345.276,1913.0,149
2724.4,120.304,343.379,1904.3,156
2761.8,120.929,342.899,1908.3,150
2887.6,124.638,340.732,1913.8,143
2999.9,128.492,340.848,1922.4,138
2967.4,127.094,338.514,1917.9,142
2944.5,126.069,345.89,1925.0,146
2895.8,124.683,339.879,1925.3,153
2800.5,123.111,339.165,1919.9,166
2967.8,126.568,340.205,1932.0,153
3105.9,130.763,342.397,1930.1,154
3102.9,130.94,339.299,1927.1,159
3060.3,129.026,340.789,1917.7,149
3081.9,130.493,340.962,1932.3,138
2928.0,124.949,338.316,1920.6,161
3156.8,132.005,341.04,1926.6,160
2886.6,125.112,343.243,1917.2,155
2782.2,122.553,343.453,1917.9,152
2789.5,122.461,343.927,1917.8,152
2860.2,124.389,343.136,1918.0,148
